country,power_index,strength_score,total_aircraft,fighter_aircraft,attack_aircraft,attack_helicopters,total_helicopters,total_naval,submarines,aircraft_carriers,destroyers,frigates,tanks,self_propelled_artillery,towed_artillery,combat_aircraft_ratio,weaponry_index,active_personnel,reserve_personnel,total_military_personnel,labor_force,total_population,reserve_ratio,mil_participation_rate,manpower_index,arms_imports_tiv,arms_exports_tiv,net_arms_trade_tiv,import_dependency_index,defense_industry_index,border_km,coastline_km,coastline_ratio,defense_budget_usd,oil_production_bpd,gdp_current_usd,gdp_per_capita,military_spend_pct_gdp,defense_burden,spend_per_soldier_usd,economic_resilience_index,total_conflict_episodes,interstate_conflict_years,high_intensity_years,years_since_last_interstate,conflict_experience_index
United States,0.0741,1.0,13032.0,1791.0,926.0,1024.0,5913.0,465.0,66.0,11.0,83.0,0.0,4666.0,1521.0,1878.0,0.1374,0.8379,1333030.0,799500.0,2132530.0,174174000.0,341963408.0,0.5998,0.012244,0.2965,1209000000.0,13512000000.0,12303000000.0,0.2306,1.0,12002.0,19924.0,0.6241,831500000000.0,20953000.0,28750956130731.2,84534.0,3.419,0.0289,389912.0,0.9352,24.0,5.0,2.0,2.0,0.3024
Russia,0.0791,0.9938,4237.0,861.0,698.0,556.0,1643.0,747.0,66.0,1.0,13.0,12.0,5630.0,3603.0,5920.0,0.2032,0.5897,1320000.0,2000000.0,3320000.0,72517000.0,140820810.0,1.5152,0.045782,0.5241,467000000.0,1339000000.0,872000000.0,0.0886,0.0991,22407.0,37653.0,0.6269,212638272000.0,10879000.0,2173835806671.66,14889.0,7.052,0.0978,64048.0,0.2551,53.0,6.0,13.0,2.0,0.4089
China,0.0919,0.978,3529.0,1443.0,371.0,281.0,1007.0,841.0,61.0,3.0,53.0,46.0,5870.0,2940.0,1400.0,0.4089,0.647,2035000.0,510000.0,2545000.0,773880000.0,1415043270.0,0.2506,0.003289,0.319,72000000.0,1131000000.0,1059000000.0,0.013,0.0837,22457.0,14500.0,0.3923,303000000000.0,4984000.0,18743803170827.2,13303.1,1.711,0.0162,119057.0,0.4783,28.0,18.0,10.0,6.0,0.5802
India,0.1346,0.9252,2183.0,476.0,124.0,79.0,594.0,343.0,18.0,2.0,13.0,18.0,3913.0,100.0,5640.0,0.218,0.2701,1431000.0,1000000.0,2431000.0,607691000.0,1409128296.0,0.6988,0.004,0.3456,1168000000.0,25000000.0,-1143000000.0,0.2227,0.0019,13888.0,7000.0,0.3351,109000000000.0,822000.0,3909891533858.08,2694.7,2.271,0.0279,44838.0,0.1984,218.0,29.0,16.0,6.0,0.8185
South Korea,0.1642,0.8886,1540.0,242.0,98.0,113.0,827.0,215.0,22.0,0.0,14.0,18.0,1831.0,2780.0,5800.0,0.1571,0.2425,450000.0,3100000.0,3550000.0,29713000.0,52081799.0,6.8889,0.119476,0.6376,1009000000.0,964000000.0,-45000000.0,0.1923,0.0713,237.0,2413.0,0.9106,44800000000.0,38000.0,1875388209406.8,36238.6,2.562,0.0239,12620.0,0.2466,5.0,5.0,4.0,73.0,0.1186
France,0.1798,0.8693,974.0,223.0,0.0,67.0,452.0,166.0,9.0,1.0,11.0,5.0,427.0,74.0,0.0,0.229,0.0911,264000.0,43444.0,307444.0,31725000.0,68374591.0,0.1646,0.009691,0.0339,188000000.0,2272000000.0,2084000000.0,0.0352,0.1681,4072.0,4853.0,0.5438,67232395000.0,80000.0,3160442622465.08,46103.1,2.053,0.0213,218682.0,0.2906,53.0,3.0,17.0,65.0,0.2121
Japan,0.1876,0.8596,1429.0,217.0,47.0,118.0,583.0,158.0,23.0,0.0,41.0,8.0,734.0,193.0,480.0,0.1519,0.1621,251500.0,56000.0,307500.0,69382000.0,123201945.0,0.2227,0.004432,0.0349,977000000.0,21000000.0,-956000000.0,0.1862,0.0016,0.0,29751.0,1.0,58000000000.0,8000.0,4027597523550.58,32487.1,1.371,0.0144,188618.0,0.2733,0.0,0.0,0.0,,0.0
United Kingdom,0.1881,0.859,625.0,103.0,38.0,50.0,262.0,116.0,10.0,2.0,6.0,7.0,288.0,14.0,126.0,0.1648,0.0875,141330.0,31940.0,173270.0,35359000.0,68459055.0,0.226,0.0049,0.0181,643000000.0,756000000.0,113000000.0,0.1223,0.056,499.0,12429.0,0.9614,88526529585.0,753000.0,3686033044482.13,53246.4,2.279,0.024,510917.0,0.3199,56.0,8.0,9.0,2.0,0.4109
Turkiye,0.1975,0.8474,1101.0,201.0,0.0,111.0,509.0,192.0,14.0,0.0,0.0,17.0,2284.0,1045.0,635.0,0.1826,0.1463,481000.0,380000.0,861000.0,36081000.0,84119531.0,0.79,0.023863,0.1221,381000000.0,332000000.0,-49000000.0,0.0721,0.0246,2816.0,7200.0,0.7188,51400000000.0,83000.0,1359123768774.12,15892.7,1.923,0.0378,59698.0,0.1815,50.0,1.0,10.0,52.0,0.1575
Italy,0.2211,0.8182,714.0,88.0,65.0,37.0,352.0,285.0,8.0,2.0,3.0,14.0,203.0,64.0,108.0,0.1232,0.1023,165500.0,18300.0,183800.0,25828000.0,60964931.0,0.1106,0.007116,0.0182,432000000.0,1379000000.0,947000000.0,0.0819,0.1021,1836.0,7600.0,0.8054,37325165000.0,111000.0,2380825077243.59,40385.3,1.609,0.0157,203075.0,0.2697,0.0,0.0,0.0,,0.0
