side_a,side_b,win_prob_a
United States,Russia,0.948
United States,China,0.919
United States,India,0.975
United States,South Korea,0.979
United States,France,0.987
United States,Japan,0.99
United States,United Kingdom,0.987
United States,Turkiye,0.988
United States,Italy,0.989
United States,Brazil,0.99
United States,Germany,0.987
United States,Indonesia,0.99
United States,Pakistan,0.984
United States,Israel,0.985
United States,Iran,0.984
United States,Australia,0.99
United States,Spain,0.991
United States,Egypt,0.988
United States,Ukraine,0.99
United States,Poland,0.992
United States,Taiwan,0.988
United States,Vietnam,0.973
United States,Thailand,0.99
United States,Saudi Arabia,0.991
United States,Sweden,0.991
United States,Algeria,0.991
United States,Canada,0.99
United States,Singapore,0.99
United States,Greece,0.991
United States,North Korea,0.986
United States,Argentina,0.991
United States,Nigeria,0.991
United States,Netherlands,0.99
United States,Myanmar,0.99
United States,Mexico,0.991
United States,Bangladesh,0.992
United States,Portugal,0.992
United States,Norway,0.99
United States,South Africa,0.992
United States,Philippines,0.99
United States,Malaysia,0.991
United States,Colombia,0.99
United States,Iraq,0.987
United States,Denmark,0.991
United States,Switzerland,0.99
United States,Ethiopia,0.989
United States,Finland,0.99
United States,Chile,0.992
United States,Peru,0.99
Russia,United States,0.06
Russia,China,0.363
Russia,India,0.761
Russia,South Korea,0.812
Russia,France,0.903
Russia,Japan,0.933
Russia,United Kingdom,0.903
Russia,Turkiye,0.921
Russia,Italy,0.93
Russia,Brazil,0.932
Russia,Germany,0.91
Russia,Indonesia,0.932
Russia,Pakistan,0.872
Russia,Israel,0.89
Russia,Iran,0.874
Russia,Australia,0.939
Russia,Spain,0.941
Russia,Egypt,0.912
Russia,Ukraine,0.939
Russia,Poland,0.955
Russia,Taiwan,0.911
Russia,Vietnam,0.718
Russia,Thailand,0.931
Russia,Saudi Arabia,0.943
Russia,Sweden,0.942
Russia,Algeria,0.945
Russia,Canada,0.938
Russia,Singapore,0.937
Russia,Greece,0.943
Russia,North Korea,0.893
Russia,Argentina,0.947
Russia,Nigeria,0.94
Russia,Netherlands,0.94
Russia,Myanmar,0.933
Russia,Mexico,0.947
Russia,Bangladesh,0.953
Russia,Portugal,0.949
Russia,Norway,0.936
Russia,South Africa,0.95
Russia,Philippines,0.931
Russia,Malaysia,0.948
Russia,Colombia,0.935
Russia,Iraq,0.907
Russia,Denmark,0.946
Russia,Switzerland,0.936
Russia,Ethiopia,0.926
Russia,Finland,0.938
Russia,Chile,0.95
Russia,Peru,0.938
China,United States,0.096
China,Russia,0.653
China,India,0.856
China,South Korea,0.889
China,France,0.937
China,Japan,0.956
China,United Kingdom,0.937
China,Turkiye,0.949
China,Italy,0.955
China,Brazil,0.956
China,Germany,0.942
China,Indonesia,0.956
China,Pakistan,0.919
China,Israel,0.93
China,Iran,0.921
China,Australia,0.96
China,Spain,0.961
China,Egypt,0.943
China,Ukraine,0.96
China,Poland,0.969
China,Taiwan,0.943
China,Vietnam,0.826
China,Thailand,0.955
China,Saudi Arabia,0.962
China,Sweden,0.962
China,Algeria,0.964
China,Canada,0.959
China,Singapore,0.959
China,Greece,0.962
China,North Korea,0.931
China,Argentina,0.965
China,Nigeria,0.961
China,Netherlands,0.961
China,Myanmar,0.957
China,Mexico,0.965
China,Bangladesh,0.968
China,Portugal,0.966
China,Norway,0.958
China,South Africa,0.967
China,Philippines,0.955
China,Malaysia,0.965
China,Colombia,0.958
China,Iraq,0.94
China,Denmark,0.964
China,Switzerland,0.958
China,Ethiopia,0.952
China,Finland,0.959
China,Chile,0.967
China,Peru,0.959
India,United States,0.026
India,Russia,0.265
India,China,0.166
India,South Korea,0.582
India,France,0.754
India,Japan,0.841
India,United Kingdom,0.755
India,Turkiye,0.804
India,Italy,0.831
India,Brazil,0.832
India,Germany,0.773
India,Indonesia,0.833
India,Pakistan,0.684
India,Israel,0.72
India,Iran,0.688
India,Australia,0.856
India,Spain,0.86
India,Egypt,0.779
India,Ukraine,0.861
India,Poland,0.899
India,Taiwan,0.774
India,Vietnam,0.452
India,Thailand,0.831
India,Saudi Arabia,0.869
India,Sweden,0.864
India,Algeria,0.874
India,Canada,0.851
India,Singapore,0.848
India,Greece,0.869
India,North Korea,0.729
India,Argentina,0.878
India,Nigeria,0.858
India,Netherlands,0.859
India,Myanmar,0.839
India,Mexico,0.879
India,Bangladesh,0.894
India,Portugal,0.885
India,Norway,0.847
India,South Africa,0.888
India,Philippines,0.83
India,Malaysia,0.88
India,Colombia,0.842
India,Iraq,0.764
India,Denmark,0.876
India,Switzerland,0.844
India,Ethiopia,0.816
India,Finland,0.849
India,Chile,0.888
India,Peru,0.85
South Korea,United States,0.021
South Korea,Russia,0.209
South Korea,China,0.134
South Korea,India,0.43
South Korea,France,0.692
South Korea,Japan,0.796
South Korea,United Kingdom,0.693
South Korea,Turkiye,0.75
South Korea,Italy,0.784
South Korea,Brazil,0.785
South Korea,Germany,0.714
South Korea,Indonesia,0.785
South Korea,Pakistan,0.614
South Korea,Israel,0.654
South Korea,Iran,0.619
South Korea,Australia,0.813
South Korea,Spain,0.818
South Korea,Egypt,0.721
South Korea,Ukraine,0.823
South Korea,Poland,0.873
South Korea,Taiwan,0.715
South Korea,Vietnam,0.379
South Korea,Thailand,0.783
South Korea,Saudi Arabia,0.829
South Korea,Sweden,0.824
South Korea,Algeria,0.836
South Korea,Canada,0.807
South Korea,Singapore,0.804
South Korea,Greece,0.83
South Korea,North Korea,0.663
South Korea,Argentina,0.841
South Korea,Nigeria,0.816
South Korea,Netherlands,0.817
South Korea,Myanmar,0.793
South Korea,Mexico,0.842
South Korea,Bangladesh,0.863
South Korea,Portugal,0.849
South Korea,Norway,0.803
South Korea,South Africa,0.854
South Korea,Philippines,0.782
South Korea,Malaysia,0.843
South Korea,Colombia,0.797
South Korea,Iraq,0.704
South Korea,Denmark,0.838
South Korea,Switzerland,0.799
South Korea,Ethiopia,0.766
South Korea,Finland,0.805
South Korea,Chile,0.854
South Korea,Peru,0.806
France,United States,0.012
France,Russia,0.117
France,China,0.074
France,India,0.263
France,South Korea,0.327
France,Japan,0.635
France,United Kingdom,0.507
France,Turkiye,0.574
France,Italy,0.618
France,Brazil,0.62
France,Germany,0.531
France,Indonesia,0.621
France,Pakistan,0.422
France,Israel,0.463
France,Iran,0.429
France,Australia,0.661
France,Spain,0.668
France,Egypt,0.537
France,Ukraine,0.678
France,Poland,0.755
France,Taiwan,0.531
France,Vietnam,0.224
France,Thailand,0.618
France,Saudi Arabia,0.685
France,Sweden,0.677
France,Algeria,0.696
France,Canada,0.652
France,Singapore,0.647
France,Greece,0.686
France,North Korea,0.478
France,Argentina,0.703
France,Nigeria,0.665
France,Netherlands,0.667
France,Myanmar,0.631
France,Mexico,0.705
France,Bangladesh,0.738
France,Portugal,0.716
France,Norway,0.645
France,South Africa,0.723
France,Philippines,0.617
France,Malaysia,0.706
France,Colombia,0.637
France,Iraq,0.515
France,Denmark,0.698
France,Switzerland,0.641
France,Ethiopia,0.594
France,Finland,0.649
France,Chile,0.723
France,Peru,0.651
Japan,United States,0.008
Japan,Russia,0.078
Japan,China,0.048
Japan,India,0.175
Japan,South Korea,0.222
Japan,France,0.377
Japan,United Kingdom,0.376
Japan,Turkiye,0.445
Japan,Italy,0.488
Japan,Brazil,0.488
Japan,Germany,0.401
Japan,Indonesia,0.487
