country,gfp_code,power_index,active_personnel,reserve_personnel,total_aircraft,fighter_aircraft,attack_aircraft,attack_helicopters,total_helicopters,total_naval,submarines,aircraft_carriers,destroyers,frigates,tanks,self_propelled_artillery,towed_artillery,defense_budget_usd,oil_production_bpd,labor_force,total_population,coastline_km,border_km
United States,USA,0.0741,1333030.0,799500.0,13032.0,1791.0,926.0,1024.0,5913.0,465.0,66.0,11.0,83.0,0.0,4666.0,1521.0,1878.0,831500000000.0,20953000.0,174174000.0,341963408.0,19924.0,12002.0
Russia,RUS,0.0791,1320000.0,2000000.0,4237.0,861.0,698.0,556.0,1643.0,747.0,66.0,1.0,13.0,12.0,5630.0,3603.0,5920.0,212638272000.0,10879000.0,72517000.0,140820810.0,37653.0,22407.0
China,CHN,0.0919,2035000.0,510000.0,3529.0,1443.0,371.0,281.0,1007.0,841.0,61.0,3.0,53.0,46.0,5870.0,2940.0,1400.0,303000000000.0,4984000.0,773880000.0,1415043270.0,14500.0,22457.0
India,IND,0.1346,1431000.0,1000000.0,2183.0,476.0,124.0,79.0,594.0,343.0,18.0,2.0,13.0,18.0,3913.0,100.0,5640.0,109000000000.0,822000.0,607691000.0,1409128296.0,7000.0,13888.0
South Korea,SKO,0.1642,450000.0,3100000.0,1540.0,242.0,98.0,113.0,827.0,215.0,22.0,0.0,14.0,18.0,1831.0,2780.0,5800.0,44800000000.0,38000.0,29713000.0,52081799.0,2413.0,237.0
France,FRA,0.1798,264000.0,43444.0,974.0,223.0,0.0,67.0,452.0,166.0,9.0,1.0,11.0,5.0,427.0,74.0,0.0,67232395000.0,80000.0,31725000.0,68374591.0,4853.0,4072.0
Japan,JPN,0.1876,251500.0,56000.0,1429.0,217.0,47.0,118.0,583.0,158.0,23.0,0.0,41.0,8.0,734.0,193.0,480.0,58000000000.0,8000.0,69382000.0,123201945.0,29751.0,0.0
United Kingdom,UKD,0.1881,141330.0,31940.0,625.0,103.0,38.0,50.0,262.0,116.0,10.0,2.0,6.0,7.0,288.0,14.0,126.0,88526529585.0,753000.0,35359000.0,68459055.0,12429.0,499.0
Turkiye,TKY,0.1975,481000.0,380000.0,1101.0,201.0,0.0,111.0,509.0,192.0,14.0,0.0,0.0,17.0,2284.0,1045.0,635.0,51400000000.0,83000.0,36081000.0,84119531.0,7200.0,2816.0
Italy,ITA,0.2211,165500.0,18300.0,714.0,88.0,65.0,37.0,352.0,285.0,8.0,2.0,3.0,14.0,203.0,64.0,108.0,37325165000.0,111000.0,25828000.0,60964931.0,7600.0,1836.0
Brazil,BRA,0.2374,376000.0,1340000.0,495.0,44.0,30.0,0.0,186.0,69.0,6.0,0.0,0.0,8.0,294.0,149.0,412.0,26400000000.0,4221000.0,106790000.0,220051512.0,7491.0,16145.0
Germany,GER,0.2463,184324.0,860000.0,569.0,127.0,63.0,49.0,292.0,96.0,6.0,0.0,0.0,11.0,296.0,134.0,0.0,127400090000.0,131000.0,43772000.0,84119100.0,2389.0,3694.0
Indonesia,INO,0.2582,404500.0,401000.0,460.0,41.0,34.0,15.0,212.0,338.0,4.0,0.0,0.0,10.0,331.0,153.0,396.0,11155297716.0,865000.0,143144000.0,281562465.0,54716.0,2958.0
Pakistan,PAK,0.2626,660000.0,550000.0,1397.0,331.0,90.0,55.0,379.0,120.0,8.0,0.0,0.0,9.0,2677.0,662.0,2629.0,9102115350.0,91000.0,83644000.0,252363571.0,1046.0,7257.0
Israel,ISR,0.2707,169500.0,465000.0,597.0,239.0,45.0,48.0,127.0,82.0,6.0,0.0,0.0,0.0,1300.0,323.0,171.0,34600000000.0,15000.0,4710000.0,9402617.0,273.0,1068.0
Iran,IRN,0.3199,610000.0,350000.0,551.0,188.0,21.0,13.0,129.0,109.0,25.0,0.0,0.0,7.0,2675.0,424.0,1803.0,9230000000.0,4112000.0,28575000.0,88386937.0,2440.0,5894.0
