Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 27 May 2026 11:13:15 AM

Supplier,2010,2010-2010,Percentage,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2011-2024,Percentage,Sum total years,Percentage of total
Russia,2289,2289,79%,2508,3916,3790,1639,1844,1764,1334,1215,1219,1165,1267,1137,498,897,24192,57%,26480,58%
France,24,24,0.8%,27,32,52,54,119,117,406,166,775,694,1906,830,251,176,5602,13%,5626,12%
United States,54,54,1.9%,214,139,983,1115,261,41,267,25,754,416,316,234,75,65,4904,12%,4958,11%
Israel,106,106,3.6%,155,163,118,155,157,518,633,526,156,115,215,250,589,323,4073,9.6%,4179,9.2%
United Kingdom,120,120,4.1%,140,160,140,150,150,130,,6,13,28,142,142,22,21,1244,2.9%,1364,3.0%
Germany,49,49,1.7%,29,9,24,42,67,29,9,5,73,59,50,20,35,22,473,1.1%,521,1.1%
South Korea,,,0.0%,,,,,,,,26,191,191,26,,,,434,1.0%,434,1.0%
Uzbekistan,209,209,7.2%,209,,,,,,,,,,,,,,209,0.5%,418,0.9%
Italy,12,12,0.4%,308,12,6,11,6,3,3,,,3,3,18,8,3,382,0.9%,393,0.9%
Ukraine,,,0.0%,13,45,102,42,42,35,15,13,,,20,20,20,16,384,0.9%,384,0.8%
South Africa,,,0.0%,6,30,30,24,,,,,,,,13,7,7,118,0.3%,118,0.3%
Switzerland,,,0.0%,,,38,31,25,,,,,,,,,,94,0.2%,94,0.2%
Canada,,,0.0%,,,11,9,49,,,,,,,,2,8,77,0.2%,77,0.2%
Netherlands,19,19,0.7%,,,,10,10,10,,,,,10,10,10,,57,0.1%,76,0.2%
Spain,,,0.0%,,,,,,,,,,,,,13,63,75,0.2%,75,0.2%
Denmark,,,0.0%,,,,,,,,,,,5,19,10,,33,0.1%,33,0.1%
Australia,17,17,0.6%,17,,,,,,,,,,,,,,17,0.0%,33,0.1%
Brazil,,,0.0%,,,,,,,10,,21,,,,,,31,0.1%,31,0.1%
Kyrgyzstan,,,0.0%,,,,,4,5,5,,,,,,,,14,0.0%,14,0.0%
Poland,,,0.0%,,,11,,,,,,,,,1,,,12,0.0%,12,0.0%
unknown supplier(s),,,0.0%,,,,,,,,,,,,5,3,3,11,0.0%,11,0.0%
Czechia,0 ,0 ,0.0%,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,1,1,1,1,3,0.0%,3,0.0%
Total exports to India,2897,2897,100%,3625,4506,5302,3282,2733,2651,2682,1982,3202,2670,3958,2701,1540,1603,42439,100%,45337,

