Volume of transfers of major arms
Figures are in millions of SIPRI trend-indicator values (TIVs).
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 27 May 2026 11:51:08 AM

Supplier,2010,2010-2010,Percentage,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2011-2024,Percentage,Sum total years,Percentage of total
China,748,748,34%,624,594,729,484,559,735,684,500,526,407,911,1322,1807,726,10609,72%,11357,67%
United States,1034,1034,46%,269,276,137,201,95,43,23,27,,12,,,7,3,1093,7.5%,2127,13%
Italy,68,68,3.1%,78,75,109,27,12,12,77,112,26,,,,17,,545,3.7%,613,3.6%
Sweden,244,244,11%,4,4,4,4,4,8,4,16,,80,,,80,80,288,2.0%,532,3.2%
Russia,26,26,1.2%,29,29,29,29,37,43,37,79,60,37,7,,26,26,468,3.2%,494,2.9%
Turkiye,,,0.0%,22,22,22,,24,,8,104,,,,5,224,17,448,3.1%,448,2.7%
Netherlands,,,0.0%,,,,,,,,,,80,,44,22,213,359,2.5%,359,2.1%
Ukraine,72,72,3.2%,130,8,8,8,2,8,8,12,12,8,8,8,2,,217,1.5%,289,1.7%
Jordan,,,0.0%,,,24,114,7,,,,,,,,,,146,1.0%,146,0.9%
Germany,11,11,0.5%,,,8,,,,,28,28,,,28,3,,95,0.6%,106,0.6%
France,20,20,0.9%,23,16,29,6,,,,,,,,,,,75,0.5%,94,0.6%
Egypt,,,0.0%,,,,,,,,,,,41,41,,,81,0.6%,81,0.5%
Belgium,,,0.0%,,,,,,,,,,,,67,11,,78,0.5%,78,0.5%
Switzerland,,,0.0%,,,,,,20,20,,,,,,,,39,0.3%,39,0.2%
United Kingdom,,,0.0%,,,1,,,,5,15,2,,7,2,,,32,0.2%,32,0.2%
Brazil,,,0.0%,,,3,4,5,4,4,,,,,,,,20,0.1%,20,0.1%
Canada,,,0.0%,,,,,20,,,,,,,,,,20,0.1%,20,0.1%
Lithuania,,,0.0%,,,,,,,,,,,,13,,,13,0.1%,13,0.1%
Qatar,,,0.0%,,,,,,,,,,,11,,,,11,0.1%,11,0.1%
Spain,,,0.0%,,,10,,,,,,,,,,,,10,0.1%,10,0.1%
Libya,9,9,0.4%,,,,,,,,,,,,,,,,0.0%,9,0.1%
Malta,,,0.0%,,,,,5,,,,,,,,,,5,0.0%,5,0.0%
unknown supplier(s),,,0.0%,,,,,,,,,,,,,,3,3,0.0%,3,0.0%
Total exports to Pakistan,2232,2232,100%,1178,1024,1112,877,771,872,870,893,654,624,984,1529,2199,1068,14654,100%,16886,

