country,gdp_current_usd,gdp_per_capita,military_spend_pct_gdp,population_wb,labor_force_wb,armed_forces_personnel,mil_exp_usd_wb,arms_imports_tiv,arms_exports_tiv
United States,28750956130731.2,84534.0407841548,3.41921653228044,340110988.0,174845690.0,1395000.0,997309000000.0,1209000000.0,13512000000.0
Russia,2173835806671.66,14889.0185546875,7.05233864500366,143533851.0,72386984.0,1454000.0,148967275140.483,467000000.0,1339000000.0
China,18743803170827.2,13303.1481543868,1.71129740345228,1408975000.0,767626880.0,2535000.0,313658330217.176,72000000.0,1131000000.0
India,3909891533858.08,2694.73780859961,2.2712033218142,1450935791.0,617625336.0,3068000.0,86125976248.5524,1168000000.0,25000000.0
South Korea,1875388209406.8,36238.639908315,2.56205259386748,51751065.0,29848809.0,569000.0,47571318596.7228,1009000000.0,964000000.0
France,3160442622465.08,46103.0840855884,2.05257687860637,68551653.0,31827794.0,304000.0,64675015306.1997,188000000.0,2272000000.0
Japan,4027597523550.58,32487.0778047567,1.37139689580634,123975371.0,69386649.0,261000.0,55273904316.7083,977000000.0,21000000.0
United Kingdom,3686033044482.13,53246.3676145108,2.2786177901127,69226000.0,35470266.0,153000.0,81763173069.6744,643000000.0,756000000.0
Turkiye,1359123768774.12,15892.7157287241,1.92255231276371,85518661.0,36818130.0,512000.0,24978735534.6038,381000000.0,332000000.0
Italy,2380825077243.59,40385.3413957669,1.60924561245844,58952704.0,25579070.0,338000.0,37964578316.9022,432000000.0,1379000000.0
Brazil,2185821648943.86,10310.5488778166,0.972774559040702,211998573.0,108318282.0,762000.0,20947723265.0291,435000000.0,116000000.0
Germany,4685592577804.69,56103.7323182554,1.89190377205494,83516593.0,43199538.0,183000.0,88458476389.5109,239000000.0,2049000000.0
Indonesia,1396300098190.97,4925.43048751861,0.779216788275608,283487931.0,147104597.0,676000.0,11042843809.9082,186000000.0,17000000.0
Pakistan,371570000121.266,1478.77277977996,2.66760037007452,251269164.0,85158214.0,943000.0,10165952756.2448,982000000.0,6000000.0
Israel,540379921261.681,54176.6844383302,8.77671668977531,9974400.0,4822657.0,178000.0,46505298369.3376,211000000.0,1026000000.0
Iran,475252089215.416,5190.16959024821,2.01043175751636,91567738.0,29521716.0,650000.0,7891903306.81818,42000000.0,226000000.0
Australia,1757022451652.83,64603.9856308464,1.8837883329175,27196812.0,15033307.0,60000.0,33819572368.4211,983000000.0,75000000.0
Spain,1725671652742.19,35326.7683069278,1.43210737406914,48848840.0,24486385.0,199000.0,24615397928.7413,148000000.0,639000000.0
Egypt,389059911003.566,3338.47371395895,0.665263620234986,116538258.0,36106369.0,836000.0,2396211163.82267,72000000.0,2000000.0
Ukraine,190741262414.705,5389.47314453125,34.4815297701892,37860221.0,20538715.0,298000.0,64704990025.4782,5230000000.0,23000000.0
Poland,917767106146.761,25103.565661423,4.15439387975356,36559233.0,18017827.0,189000.0,38000728652.37,1448000000.0,116000000.0
Taiwan,,,,,,,,,
Vietnam,476388230307.175,4717.29028732449,1.80650138874311,100987686.0,57041323.0,522000.0,5500000000.0,58000000.0,10000000.0
Thailand,526517658841.684,7346.62022142185,1.07876078016919,71668011.0,40871242.0,455000.0,5522411647.48004,73000000.0,5000000.0
Saudi Arabia,1239804533333.33,35121.6628687742,7.2981029390103,35300280.0,17858342.0,282000.0,80330666666.6667,1111000000.0,3000000.0
Sweden,603715224265.798,57117.4877440616,1.99771738810168,10569709.0,5709480.0,15000.0,12040289402.7522,66000000.0,381000000.0
Algeria,269322281664.773,5752.99076651465,7.97145723551219,46814308.0,13556625.0,326000.0,21811242555.0313,128000000.0,
Canada,2243636826633.76,54340.3477224733,1.31303419578919,41288599.0,22837209.0,72000.0,29346897810.219,149000000.0,152000000.0
Singapore,547386645891.847,90674.066632628,2.8417655746547,6036860.0,3736251.0,59000.0,15061025802.2031,348000000.0,11000000.0
Greece,256238371778.118,24626.1481858973,3.12797536550149,10405134.0,4692676.0,147000.0,8021963044.4518,623000000.0,7000000.0
North Korea,,,,26498823.0,17696854.0,1469000.0,1604444444.44444,,243000000.0
Argentina,638365455340.04,13969.7836603737,0.618350391157195,45696159.0,22422031.0,103000.0,4177618452.20522,43000000.0,
Nigeria,252261880141.151,1084.16041805436,0.555429367236392,232679478.0,116581818.0,223000.0,1133303623.27648,67000000.0,3000000.0
Netherlands,1214927698572.66,67520.4218956281,1.91642541759119,17993485.0,10351609.0,41000.0,23179211260.1708,360000000.0,392000000.0
Myanmar,74068349523.8095,1359.05001560107,6.79452485229039,54500091.0,22940495.0,463000.0,5011272415.12673,222000000.0,
Mexico,1856365616165.94,14185.7812248529,0.893257529320534,130861007.0,61707262.0,341000.0,16726425452.0934,46000000.0,1000000.0
Bangladesh,450119432068.852,2593.41611680774,0.941321120606305,173562364.0,74739682.0,227000.0,4034561892.72044,75000000.0,
Portugal,313271185085.102,29292.242104753,1.53226822745255,10694681.0,5419014.0,52000.0,4641618584.64707,61000000.0,18000000.0
Norway,483592648313.301,86785.4334489176,2.09124111193175,5572279.0,3093894.0,25000.0,10435320375.7091,349000000.0,710000000.0
South Africa,401144998373.585,6267.186814093,0.700150834276412,64007187.0,26731522.0,89000.0,2835956043.23652,30000000.0,27000000.0
Philippines,461617509782.355,3984.8315387656,1.32426895346612,115843670.0,52204133.0,157000.0,6117535232.86185,238000000.0,
Malaysia,422227005428.688,11874.4273684245,0.987556748730683,35557673.0,18719406.0,136000.0,4312858466.81122,7000000.0,1000000.0
Colombia,418818154879.271,7919.20886825345,3.35903368303836,52886363.0,27099025.0,428000.0,15096259111.9062,19000000.0,4000000.0
Iraq,279641257615.385,6073.61032342708,2.35714058035714,46042015.0,12493376.0,459000.0,6178546529.67549,23000000.0,
Denmark,424524722037.047,71026.4832271897,2.41617454160591,5976992.0,3287645.0,15000.0,9958899778.69112,427000000.0,166000000.0
Switzerland,936564198048.516,103998.186685604,0.717812077671144,9005582.0,5138790.0,20000.0,6722303543.86997,33000000.0,33000000.0
Ethiopia,149740297952.986,1133.88279681719,0.650506448320295,132059767.0,56779061.0,138000.0,921665263.86463,48000000.0,
Finland,298696961297.656,53149.7671934051,2.29979173712597,5619911.0,2873200.0,22000.0,6987848067.30834,64000000.0,27000000.0
Chile,330267137371.592,16709.8893972307,1.57780388625485,19764771.0,10326077.0,114000.0,5105441707.26122,14000000.0,8000000.0
Peru,289221969062.941,8452.37167056621,0.909288680359786,34217848.0,19242514.0,158000.0,2565268613.71996,4000000.0,
